Name,Pheno,Weight,Number,HMDB00606,HMDB00208,HMDB00357,HMDB00754,HMDB00479,HMDB00822,HMDB00725,HMDB03355,HMDB00805,HMDB00042,HMDB00201,HMDB00895,HMDB01206,HMDB00034,HMDB00050,HMDB01341,HMDB01310,HMDB00462,HMDB00045,HMDB00646,HMDB01851,HMDB01043,HMDB03416,HMDB00168,HMDB06483,HMDB00538,HMDB00944,HMDB01870,HMDB00056,HMDB00043,HMDB00039,HMDB02322,HMDB00535,HMDB00482,HMDB00062,HMDB02250,HMDB13326,HMDB05066,HMDB13166,HMDB13329,HMDB13337,HMDB13207,HMDB13333,HMDB13334,HMDB13339,HMDB00824,HMDB13127,HMDB00033,HMDB00067,HMDB01565,HMDB00094,HMDB00904,HMDB00095,HMDB01423,HMDB00574,HMDB00089,HMDB01539,HMDB00092,HMDB00623,HMDB00529,HMDB05060,HMDB01999,HMDB60039,HMDB02994,HMDB01248,HMDB00537,HMDB01520,HMDB00660,HMDB00134,HMDB00112,HMDB00107,HMDB00143,HMDB11171,HMDB28829,HMDB11741,HMDB01201,HMDB00124,HMDB02545,HMDB03339,HMDB00641,HMDB13130,HMDB00125,HMDB00139,HMDB00131,HMDB00126,HMDB00086,HMDB00123,HMDB00138,HMDB11733,HMDB01397,HMDB01273,HMDB00132,HMDB00133,HMDB31046,HMDB00477,HMDB00672,HMDB00714,HMDB00177,HMDB00719,HMDB00118,HMDB00965,HMDB00157,HMDB00671,HMDB00195,HMDB06088,HMDB01873,HMDB00019,HMDB00684,HMDB01311,HMDB00638,HMDB11175,HMDB00673,HMDB01388,HMDB00761,HMDB03405,HMDB00156,HMDB02095,HMDB00163,HMDB00765,HMDB00696,HMDB00202,HMDB01844,HMDB00806,HMDB02000,HMDB00812,HMDB01138,HMDB06029,HMDB02064,HMDB01276,HMDB01186,HMDB02172,HMDB41947,HMDB00446,HMDB02189,HMDB00902,HMDB01487,HMDB00217,HMDB00221,HMDB01406,HMDB01488,HMDB00229,HMDB13622,HMDB00224,HMDB00573,HMDB03374,HMDB03337,HMDB00220,HMDB03229,HMDB00210,HMDB10379,HMDB10381,HMDB10382,HMDB10383,HMDB12108,HMDB11128,HMDB10385,HMDB10386,HMDB10387,HMDB10391,HMDB00826,HMDB00159,HMDB00329,HMDB00263,HMDB01429,HMDB00272,HMDB03411,HMDB04827,HMDB00237,HMDB01414,HMDB00223,HMDB03213,HMDB00508,HMDB01548,HMDB00283,HMDB00939,HMDB01185,HMDB00792,HMDB00187,HMDB03070,HMDB01257,HMDB01256,HMDB06547,HMDB00254,HMDB00258,HMDB00251,HMDB02368,HMDB00560,HMDB00872,HMDB00943,HMDB00167,HMDB00262,HMDB00929,HMDB00158,HMDB00288,HMDB00888,HMDB00300,HMDB00289,HMDB00296,HMDB00292,HMDB00299,HMDB02917,HMDB00098
F_NS_GFP_1,NS,0.0294,30,56034973.19,56175637.99,1140.32,143344.331,84240933.23,174628.072,10028777.66,2908341.148,394123562.8,13132.903,569902136.5,11204035.01,8894.711,3754801.09,204319.759,2063238.053,1117640114,4784824.974,101269953.7,969452.159,2772417.138,1446633.234,2868661610,23844154.14,35400046.32,62594.752,4289818.822,30443906.45,450023459.2,13261234121,451.161,144517.052,2080.479,479.166,1050177795,1544481.099,3751338.572,87298694.37,1592455.951,5510266.233,3810044.92,137227777.9,2059497.784,509421.991,6016982.893,9369357.85,1460305.106,860024.341,29261.024,914178519.8,168537225.1,85966548.33,8551.333,8933.628,15298683.8,41848.32,30395242.96,86695883.49,121580106.7,116647051.1,78180271.27,4283863.681,166213.294,16624702.48,87670.825,15553.476,17204098.66,676906016.1,19331814.46,178185321.3,41169041.85,1314659844,14169732.82,2725103.383,14520573.62,178162.364,78883.85,679675419.7,469621698.2,470667611.3,17600153.88,40639.116,46254453.5,115784440.7,3042806.835,53561857.24,148664750.4,70660.451,65103401.12,4323696.359,3290.941,195730.337,113523740.4,69171260.75,81858293.64,28895829.18,814065.117,1569511529,228670432.3,263597.031,961516.199,134984037.2,1246571.1,4888371.629,403232691.3,1086.124,208062.774,3049344.267,293106937,158027016.5,528417.267,8199649261,1030940750,45894.954,98543575.38,21608612.34,112112.676,690747540,11276940.22,29735870.61,210100716.6,331595.54,4098123863,1471927436,146171601.2,156874421.8,18132394.29,221238.205,26807099.78,657326.186,265445.232,373591.164,11534843.54,146587.273,7019613.379,179735.354,155578.74,44886.602,7406248.86,65868917,381420.385,10808843.01,440813181.4,10674211.23,660333.223,3452424.779,4883772207,8709073860,63544417.63,1357217274,20395713.17,3019001919,5191767643,34093827.37,268352533.5,4817577423,4457289633,194016141.1,6211334.642,55418131.94,150596163,2710906.429,398266.21,478714037.6,5239976.913,1797088440,8175828.369,942.648,52266204.06,57701550.41,18375436.11,33892202.35,459751.574,23427417.24,3497941.524,135388.97,2775441.33,47279311.19,4484849.071,379741807.8,50066906.36,NA,9971171.434,654027801.5,64225740.49,2840891.097,34934581.81,108717091.5,1231412.552,126198046.6,538496.017,122199743.5,123281804.4,82658270.95,3449517.043,42281280.61,56671434.74,111386666.1,152052633.3,12063.218,152777818.4,6011110.704
F_NS_GFP_2,NS,0.0252,30,175881133.6,21200786.61,6726.49,157531.765,75294981.39,329119.724,7380467.614,2058717.268,383532773.4,137966.787,751046602.5,8187358.09,6579.235,4136660.111,587919.522,2622933.278,724401005.6,3371134.394,115397266.3,984462.39,2783148.684,3314884.925,2883470197,27516259.37,38286113.32,118816.605,3894830.967,36502473.49,808004665.2,8713832388,4143.637,159280.656,5790.002,1945.977,1057535630,1219672.572,3786426.069,30619768.75,1084094.904,2561413.407,1487387.165,46591083.88,1517010.056,169301.281,3128455.297,12358090.17,2583760.51,1049378.72,24093.766,843140346.6,182792351.5,87411501.09,6042.436,66766.405,22981545.35,46072.246,23082370.12,72413126.47,90868480.84,71936348.26,NA,5426097.117,233410.435,12987181.85,74202.64,18154.146,16655632.24,928250504.7,19304499.95,178726088.4,46376361.26,1454344349,18098859.1,3199122.773,9205762.463,236132.964,696969.615,487929801.9,530598210.7,522830760,17267818.01,796886.345,21833224.19,162438944.3,5734442.319,221200341.8,192770719.9,60793.314,65426033.5,4201915.095,2681.146,227035.854,163415981.4,70893581.35,51722957.3,21156869.76,1304774.24,1658109958,183171559,4357265.136,920546.558,146498148,561108.166,5642542.012,436137935.4,11009.886,108945.694,4183212.403,338265702.6,139404556.8,529872.559,9329356187,1012941650,33766.43,66387310.92,23822498.86,279853.546,721917568.9,12674801.46,52089515.2,223845843,278658.891,3087410403,1027942545,164308270,115946900.8,18033081.81,244343.353,32091309.64,966198.59,227677.172,181309.281,10965278.58,178479.36,9122144.921,602081.575,85277.983,116304.653,8749155.046,50376001.79,328662.921,NA,482041601.8,10755673.83,893151.982,2966116.57,5407476775,9851461210,59265040.1,1111950654,19275733.02,2680980646,5945929202,34395231.83,145175013.7,5698460484,4426676516,31872588.83,6330496.326,44323059.96,166302290.6,2843457.412,179717.803,545163357.2,3265203.427,2099744993,7305098.851,5343.769,40647630.59,31953317.6,23385676.39,29790192.55,1099446.853,36222498.81,896497.219,124601.943,3275029.297,100268550.5,5040378.071,365790230.6,61563479.33,1183125.71,10364300.08,774649714.9,81464213.32,1767955.604,19133965.58,68141605.23,950831.661,139978851.8,400562.646,144476816,118670147.1,94025673.79,2528282.007,39355927.31,64407620.41,138468839.4,164135326.7,17015.096,176108151.9,3764694.422
F_NS_GFP_3,NS,0.0295,30,189148224.5,39917717.44,3349.486,154706.284,69636342.66,549249.535,7012577.447,1977227.744,459648930,136747.972,1246140253,7150382.858,7615.098,5292149.215,260989.264,2339933.679,743839919.3,5283586.581,127468967.4,1182461.852,3106758.956,1427837.572,3141108867,43503934.56,46500704,42425.74,4914726.133,36270572.59,1120623443,6953001935,740.752,177644.305,1290.403,487.055,1057921464,2997772.321,3596716.759,143992269.2,2857644.631,9585502.483,4696930.758,170554481.5,4147585.971,1457944.784,5291887.387,10704491.49,7600881.739,1079596.552,32410.922,1391895534,204888154.5,98926244.6,8276.288,5264.139,29646913.03,64012.038,23763870.18,72770747.88,194233122.8,115260796.1,53918381.95,2681105.249,21708.349,15240256.22,87547.465,21385.915,17307995.05,1017066582,9304890.564,211890519.7,54251284.93,1394017069,24222508.6,2760223.639,10863469.6,240629.403,1154971.324,588324133.7,597299584.3,606963315,43662180.27,118301.012,20044830.81,218106510.2,9495941.306,27541017.88,278881446.3,66529.603,75297959.11,4879828.189,2421.792,291560.632,242922467.4,47617693.65,42710972.23,23112489.87,1073384.927,1605846354,165582296.4,3943235.712,1179675.004,176330364.6,293718.241,7385134.339,479864032.5,1570.581,229447.953,9518278.206,320812345.1,189682596.2,314739.843,5819269237,601043792.5,52739.079,10947006.65,16671070.58,465574.668,700893951.8,16608482.49,81033089.78,224991034.1,271579.658,4039485783,1418304925,96768115.43,106178076.6,19259750.74,141080.975,36717976.88,1564007.801,254326.294,123150.069,11216336.7,188858.305,11953722.57,432395.93,116353.668,38154.002,9245976.733,49842853.49,278797.552,6765261.423,559906276.4,9437546.833,704099.145,3256191.885,3934908360,4278461408,65422548.56,1244764944,12399028.72,2686147591,4339661949,23131700.33,115693084.2,3092432825,3329447512,95897181.01,3320418.574,36408838.05,234267006.4,2184536.526,264477.169,710468598.7,3181833.554,2213690437,10045208.78,10573.846,20759110.88,74628138.66,33161149.2,39200949.72,1936015.107,38643991.94,7559716.694,220640.628,3426299.352,165642525.5,5868308.788,378791231.4,81007870.13,NA,5971026.43,668976608.4,100330859.5,1516932.218,19894774.9,102904154.8,999458.395,193978283.9,431399.645,217793818.3,149950109.6,94257420,3328161.912,45861960.77,110345290.1,157787058.9,221128071.3,17334.725,250314204.3,6395212.967
F_NS_GFP_4,NS,0.0216,23,127922380.8,40131922.38,7990.817,133081.992,68530319.37,268914.511,7594860.844,1399236.782,353426291.1,195247.942,1074829841,7323150.27,14567.936,4552294.161,369491.565,1459422.923,660351791.9,3893613.606,107389513.7,755688.876,1701526.357,1451346.988,2779845411,17494025.26,39631548,66717.846,3637698.818,26706331.12,914527265.1,7434031973,4492.923,171666.138,6409.433,1341.741,837468557.6,1691602.2,3836101.134,NA,1539917.616,5094853.365,4546859.053,169550288.6,2111799.498,738474.92,943382.234,10282189.9,3081645.248,1125312.227,19027.656,1268131075,160256126,79789015.16,5452.486,9962.126,16730392.3,37870.143,16734966.13,86799362.52,146092940.8,112779492.1,76651222.92,2847228.765,47839.531,9607171.228,68860.171,14708.737,16561494.15,878376841.2,10237040.16,198423539.2,44802453.17,1206653701,15734845.99,3406926.414,10451758.73,172328.669,147470.156,536462014.8,540199417.6,391054020.1,9704336.258,56447.501,20214168.42,171987606.5,5209302.789,61046021.68,189530195.8,21307.228,64331609.42,4079978.389,3808.609,120028.255,178801847,57771188.86,53610139.74,23306664.67,949522.786,1504904976,181317727.8,481714.08,1143307.064,117911827.6,468803.675,5251556.765,317295781.4,11208.629,165765.675,3894700.385,218512486.4,177539913.4,404247.055,6877504893,672758170.9,46460.252,94036725.2,7967329.864,220111.547,708586344.5,12326513.62,31364299.21,187472451.3,253658.246,4764131088,1437402399,169173216,107971720.6,17399540.97,185367.316,21797752.34,963453.145,102923.338,100224.141,8869701.343,220885.454,8101869.425,294442.352,136764.21,44825.414,9296061.229,43007489.93,270807.31,8070806.645,444903353.3,8952048.039,625146.468,4184549.746,4826702979,5314213897,45314642.13,1241110919,14240751.77,2721362964,4727840588,32611820.9,181904767.6,3668163067,3398689110,118632949.6,4362362.176,35640739.06,103161826.6,2189134.517,252126.716,601338281.7,3160107.286,2167721733,8014754.467,5945.313,42208418.57,64165949.74,20268559.51,23779777.54,561858.764,26314416.05,4303078.218,81188.433,2777751.123,90037299.62,3411950.104,335795114.1,46443953.42,837957.839,7198076.955,693914902.3,66382981.84,2407640.816,18830672.12,118370034.4,801086.712,91599102.82,312085.422,83748209.71,103000608.4,81697530.56,3204719.964,31166051.65,63349908.56,105212730.8,127939434.7,15160.247,161892226,3226449.957
F_NS_GFP_5,NS,0.0268,28,142560098.9,58282512.93,8619.55,136178.417,57088695.41,504898.092,6482770.852,1957922.122,375125833.6,211868.683,1355178200,6507911.576,8991.598,6539782.747,583384.166,2895346.293,745475617.8,4906235.104,117832659.1,1073191.598,2417177.131,1411184.099,2841726918,28616828.62,60883688.84,85351.731,4349082.128,33116481.11,1018458826,6354868819,5606.527,194328.868,8316.336,2855.924,974966447.2,3042227.657,3615846.384,165435505.4,2336086.033,9827111.944,2644176.929,235240420,3107107.227,1155444.662,3333023.75,10576685.86,7355581.528,629321.776,28791.223,1629412716,213398294.7,92808881.77,8849.146,41257.771,15120893.26,62358.31,17781807.72,78237517.75,243574920.5,149497008.5,58803253.54,2785906.681,92421.611,11331335.5,89990.684,19342.984,18232162.21,1046463931,15489139.41,215955343,44789795.82,1336735845,17918186.66,3419875.842,9617629.815,276048.577,1024800.054,477832824.4,584264809.9,457585532,17323016.57,131076.769,22922818.27,222050008.7,8858614.082,200403339.8,235307831.2,45129.113,67488748.31,5470027.618,6687.889,217667.997,315564534.1,58448368.65,42610843.94,25959992.93,1295448.757,1401090598,164317644.2,3031725,1044856.746,132044241.7,123396.933,6389242.652,379787098.9,16038.778,209415.278,10374608.02,222593942.3,275511341.3,257200.501,7030989902,721202227.4,45871.712,120943031.8,9057369.103,104586.039,699998226.7,12359088.46,60426578.02,198546452.4,232479.511,4397638352,1456124490,154775443.9,98073307.45,17898090.59,282906.42,30876782.56,1426253.397,248816.507,199659.807,11985873.55,222414.703,10318312.73,350395.455,151597.166,54281.852,10471020.4,40389431.46,264540.969,6755108.345,524388957.7,11007901.5,863438.056,3853835.66,4373565928,5676041184,64392916.84,1228382707,11116063.83,2387474548,4614745352,17828826.41,102823856.1,3929470222,3133774500,102135598.8,4156682.748,36679637.85,170449428.1,2513658.291,240208.209,698882866.5,2956088.581,1818603028,9479031.662,8120.99,32342707.02,98210259.96,31552352.38,35751142.96,1494463.635,28731468.71,5017917.115,168029.927,2822642.655,136643037.9,4527985.044,399206447.1,80020477.39,715927.569,5235281.644,682499103,75937992.78,1158965.039,16267463.33,135861613,924144.812,189537857.4,606166.379,164064447.9,120259754,90220380.05,3224930.172,37422369.05,124128027.9,148410506.3,178067445.1,25501.848,226182543,5007643.949
F_NS_GFP_6,NS,0.012,18,102270301.9,46532114.57,3131.501,101794.922,25102388.91,242092.977,3444677.35,1564293.075,282360515.3,77747.084,2011502252,4885777.065,8979.65,3660144.722,2692088.727,2313134.613,660403474.5,2989648.174,76909203.13,820122.122,1522740.984,1149147.429,2383427311,19827151.25,31465161.96,91032.497,2780300.708,32037348.61,811704348.5,2510255090,1524.814,146393.726,2523.904,568.172,1412508189,4044665.265,3411162.912,21794675.15,3077712.258,6522609.405,967656.392,27384023.04,3529038.059,679001.744,783461.441,14688930.55,2000767.601,638188.483,35104.464,2273956815,157210173.1,75993075.7,3451.066,29923.548,9447016.563,2753.125,4479445.926,73611706.6,50188610.58,106711809.7,1151617.666,2661764.544,133913.83,6374632.438,79380.763,16044.847,8368710.499,848275481.8,12826118.42,136361789.4,34416546.23,1187707915,1433427.174,1019727.284,1798037.816,29914.279,203296.491,507559550.6,443699089.3,353935730.5,5603697.173,NA,26777550.16,145182886.8,4322647.555,822508991,168108625.8,49765.614,28591917.29,2155986.581,2060.749,100168.064,17398019.51,19816706.4,7870228.884,15104330.88,1238644.994,1176897521,135536000.3,2486707.469,981015.937,82133455.64,400683.579,3294697.964,240884234.3,2760.276,140037.046,4862177.791,142314572.7,192922654.4,65436.451,2497566790,422407311.6,56221.494,85089363.73,6642305.317,107676.8,611744237.4,8515535.572,39120243.03,117197206.5,219232.763,829396284.3,310103109.7,67186302.7,46690157.62,10953668.48,140711.075,20659972.89,617726.76,122261.534,49096.349,6720260.897,111359.559,6644090.476,163027.469,313327.137,106661.876,7119975.897,39601454.77,187021.782,2434328.776,429451743.4,10563886.86,603072.2,2472262.772,1398788325,2314558229,36200410.41,19056140.06,452316.559,50661387.51,81761178.8,388898.72,3582650.126,61907030.64,49545453.46,2790660.44,53737.539,11623115.27,110688903.7,2121663.155,230013.084,536027778.1,1312492.905,747843259.7,9814761.288,3015.215,19629819.14,60629654.98,19656370,25015140.37,582952.723,22248548.13,4600014.008,56977.21,2071977.272,83751663.79,3183095.478,289747963.5,42831002.21,463692.888,4753295.475,484156403.7,58136861.16,499721.213,5281945.278,49099519.66,600409.672,97147970.93,267332.303,89526350.4,69829688.88,43897856.61,2189535.659,29714073.38,93299205.1,29303501.79,109024417.3,1169.931,156816751,3788755.792
